LVPos;LVText;EntityType;Layer;Handle;Length;Area
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B1E;30.963;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B1D;8.46;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B1C;28.255;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B1B;35.285;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B1A;45.229;95.543
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B19;96.026;351.641
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B18;53.339;155.488
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B17;46.049;125.764
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B16;42.917;109.344
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B15;21.932;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B14;14.119;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B13;5.513;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B12;22.651;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B11;27.278;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B10;16.702;15.695
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B0F;16.363;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B0E;11.561;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B0D;63.771;169.187
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B0C;29.859;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B0B;29.303;49.918
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B0A;53.516;133.999
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B09;24.38;36.993
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B08;29.507;53.949
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B07;30.219;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B06;38.319;84.201
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B05;48.29;119.145
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B04;5.908;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B03;93.915;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B02;44.85;117.487
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B01;16.659;15.879
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8B00;47.201;136.154
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8AFF;29.656;40.975
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8AFE;15.369;14.635
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8AFD;36.834;81.092
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8AFC;7.852;0
;;Polyline;DFK_Ainring$0$DFK_Gebäude;8AFB;15.239;0
